model,prompt_label,avg_latency_ms
gpt-oss-target,Estricto,16323.648148148148
gpt-oss-target,Inductor,16507.00925925926
gpt-oss-target,Ultra,17477.824074074073
llama,Estricto,900.0925925925926
llama,Inductor,909.3148148148148
llama,Ultra,890.1574074074074
mistral-target,Estricto,6868.240740740741
mistral-target,Inductor,11006.935185185184
mistral-target,Ultra,6146.342592592592
qwen-coder-target,Estricto,1036.212962962963
qwen-coder-target,Inductor,1258.9444444444443
qwen-coder-target,Ultra,948.6574074074074
