model,prompt_label,avg_score,pass_rate
gpt-oss-target,Estricto,0.7067415730337079,42.69662921348314
gpt-oss-target,Inductor,0.47191011235955055,17.97752808988764
gpt-oss-target,Ultra,0.9606741573033708,93.25842696629213
llama,Estricto,0.1764044943820225,1.1235955056179776
llama,Inductor,0.09887640449438204,1.1235955056179776
llama,Ultra,0.19662921348314608,4.49438202247191
mistral-target,Estricto,0.8280898876404494,70.78651685393258
mistral-target,Inductor,0.6797752808988764,67.41573033707866
mistral-target,Ultra,0.9550561797752809,95.50561797752809
qwen-coder-target,Estricto,0.6325842696629214,57.30337078651685
qwen-coder-target,Inductor,0.16853932584269662,12.359550561797752
qwen-coder-target,Ultra,0.8932584269662921,78.65168539325843
